,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-02-26 09:47:16,2026-02-26 09:47:12,20073,285.0,1580,232,3372,1331,2816,10632,2026-01-04 13:13:45,3.2.4,424691.0,8493.0,57.0,The most widely used Python to C compiler.,213793.0,213793.0,581.0,43,True,1,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-02-20 10:00:13,2026-02-20 10:00:13,27483,153.0,1201,190,4835,1653,3935,10923,2026-02-18 19:17:33,0.64.0,,,26.0,NumPy aware dynamic Python compiler using LLVM.,169975.0,169975.0,413.0,38,True,1,
2,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-02-26 15:44:51,2026-02-23 04:28:35,4138,57.0,969,137,3711,345,1447,14240,2026-01-28 09:29:54,0.29.3,1325866.0,15239.0,92.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6125.0,6125.0,298.0,37,True,1,
3,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-02-26 18:07:58,2026-02-26 18:07:57,16006,1156.0,1375,172,5854,283,1024,21822,,,1994.0,142.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,481.0,35,True,1,
4,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-02-26 09:44:06,2026-02-26 09:16:59,18183,252.0,6365,714,7590,1391,4577,21494,2025-12-09 15:06:51,1.27.0,110358.0,1081.0,25.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,16.0,16.0,721.0,33,False,2,
5,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-02-26 11:25:41,2026-02-09 07:21:55,9320,27.0,518,132,464,83,2049,6585,2025-10-11 13:24:27,3.14.0,44990.0,328.0,78.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,517.0,517.0,126.0,31,True,2,-1.0
6,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-02-26 17:49:51,2026-02-26 17:49:51,40964,217.0,1383,131,6189,843,3739,4477,2026-02-20 21:32:01,10.1.3,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,74.0,74.0,1323.0,31,False,3,1.0
7,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-02-26 10:40:33,2026-02-21 10:16:50,14424,456.0,751,137,513,179,2578,14567,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",3652.0,3652.0,203.0,30,True,1,
8,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-02-26 07:02:37,2026-02-26 07:02:36,30432,2758.0,2762,258,2198,715,2483,25642,2026-01-29 18:21:09,modular/v26.1.0,,,10.0,The Modular Platform (includes MAX & Mojo).,,,379.0,29,False,2,
9,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-02-26 13:14:04,2026-02-26 13:14:04,4471,22.0,360,112,1345,10,1140,5442,2026-01-14 17:46:09,1.2.0,1323.0,12.0,23.0,A dialect of Lisp thats embedded in Python.,812.0,812.0,182.0,27,False,2,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-02-18 18:51:10,2026-02-18 18:51:09,938,14.0,592,138,163,83,422,16647,2026-02-08 03:11:34,0.19.5,54063.0,1422.0,19.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,20.0,25,True,2,
