,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-07-02 06:40:01,2026-07-02 05:32:30,20412,253.0,1584.0,231,3565.0,1345.0,2855.0,10782,2026-06-30 07:35:29,3.2.8,351149.0,6384.0,61.0,The most widely used Python to C compiler.,216243.0,216243.0,590.0,42,True,1,,,,,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-07-01 19:17:17,2026-07-01 13:51:30,28040,374.0,1250.0,190,5000.0,1671.0,3982.0,11067,2026-04-24 03:05:39,0.65.1,,,28.0,NumPy aware dynamic Python compiler using LLVM.,175156.0,175156.0,435.0,39,True,1,,,,,
2,taichi,taichi-dev/taichi,['written-in-cpp'],subsets,https://github.com/taichi-dev/taichi,https://github.com/taichi-dev/taichi,Apache-2.0,2016-11-24 10:00:05,2026-06-09 21:55:08,2025-07-30 13:00:47,10898,,2303.0,387,5913.0,874.0,1882.0,28273,2025-07-31 15:32:07,1.7.4,18940.0,208151.0,100.0,"Productive, portable, and performant GPU programming in Python.",1244.0,1244.0,250.0,37,True,2,taichi,https://pypi.org/project/taichi,207896.0,True,
3,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-07-01 12:47:11,2026-07-01 12:47:08,4310,112.0,1004.0,137,3893.0,343.0,1477.0,14705,2026-06-30 15:21:47,314.0.2,1682784.0,18291.0,98.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6753.0,6753.0,306.0,37,True,1,,,,,
4,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-07-02 07:41:31,2026-07-02 07:41:31,16903,557.0,1418.0,168,6772.0,287.0,1073.0,22154,,,1201.0,75.0,1.0,A Python Interpreter written in Rust.,896.0,896.0,498.0,33,True,1,,,,,
5,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-07-02 13:36:22,2026-07-02 13:36:22,18741,454.0,6497.0,709,7914.0,1194.0,4886.0,21857,2026-04-06 13:41:40,1.28.0,116340.0,1087.0,26.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,17.0,17.0,747.0,33,False,2,,,,,
6,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-07-02 10:11:47,2026-07-02 10:11:38,10024,499.0,521.0,128,654.0,87.0,2079.0,6611,2026-06-19 09:30:22,3.14.3,45722.0,321.0,81.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,521.0,521.0,129.0,33,True,1,,,,,
7,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-07-02 06:21:51,2026-06-22 09:50:36,15057,421.0,770.0,137,575.0,162.0,2681.0,14970,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.14. You feed it your..",3905.0,3905.0,210.0,31,True,1,,,,,
8,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-07-01 17:13:26,2026-07-01 17:12:40,41501,345.0,1401.0,130,6340.0,774.0,3884.0,4526,2026-05-12 21:43:06,10.2.1,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,79.0,79.0,1342.0,31,False,3,,,,,
9,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-07-02 07:28:52,2026-07-02 07:28:51,35841,3368.0,2852.0,262,2569.0,784.0,2747.0,26439,2026-06-18 16:15:54,max/v26.4.0,,,13.0,The Modular Platform (includes MAX & Mojo).,,,427.0,29,False,1,,,,,
10,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-06-21 14:48:51,2026-06-21 14:48:51,4538,59.0,369.0,114,1366.0,9.0,1152.0,5426,2026-05-24 13:53:40,1.3.0,1351.0,11.0,24.0,A dialect of Lisp thats embedded in Python.,818.0,818.0,185.0,28,False,2,,,,,
11,graalpython,oracle/graalpython,['written-in-java'],implemented-in-other-languages,https://github.com/oracle/graalpython,https://github.com/oracle/graalpython,,2018-04-17 09:54:59,2026-07-02 13:53:19,2026-07-02 11:49:48,28091,1299.0,154.0,56,474.0,52.0,463.0,1622,2026-06-30 16:05:07,graal-25.1.3,745487.0,7607.0,63.0,GraalPy A high-performance embeddable Python 3 runtime for Java.,,,89.0,27,False,2,,,,,
12,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-07-01 21:32:34,2026-06-30 14:53:19,963,16.0,603.0,136,201.0,95.0,438.0,16807,2026-03-04 00:09:30,0.19.6,58934.0,1370.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,1,,,,,
13,transcrypt,TranscryptOrg/Transcrypt,['written-in-python'],implemented-in-other-languages,https://github.com/TranscryptOrg/Transcrypt,https://github.com/TranscryptOrg/Transcrypt,Apache-2.0,2015-12-13 12:39:17,2026-06-20 09:44:02,2026-06-20 09:42:40,1243,2.0,216.0,81,176.0,181.0,536.0,2916,2026-06-20 09:44:02,3.9.5,,,31.0,"Python 3.9 to JavaScript compiler - Lean, fast, open!.",476.0,476.0,37.0,25,True,2,,,,,
14,ironpython,IronLanguages/ironpython3,['written-in-csharp'],implemented-in-other-languages,https://github.com/IronLanguages/ironpython3,https://github.com/IronLanguages/ironpython3,Apache-2.0,2014-02-27 21:50:49,2026-06-20 18:07:32,2026-06-20 18:07:32,1488,28.0,310.0,133,1335.0,300.0,373.0,2754,2024-12-20 01:50:55,3.4.2,195220.0,3098.0,5.0,Implementation of Python 3.x for .NET Framework that is built on top of the Dynamic Language Runtime.,,,40.0,25,True,2,,,,,
15,pythran,serge-sans-paille/pythran,['written-in-cpp'],subsets,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14,2026-06-26 13:30:54,2026-06-26 13:30:54,3948,28.0,199.0,45,1507.0,135.0,800.0,2130,,,,,,Ahead of Time compiler for numeric kernels.,3695.0,3695.0,77.0,25,True,3,,,,,
16,monty,pydantic/monty,['written-in-rust'],implemented-in-other-languages,https://github.com/pydantic/monty,https://github.com/pydantic/monty,MIT,2023-05-28 11:13:38,2026-07-02 03:03:06,2026-06-29 20:28:16,523,140.0,377.0,41,405.0,52.0,63.0,7817,2026-05-29 07:36:09,0.0.18,,,18.0,"A minimal, secure Python interpreter written in Rust for use by AI.",16.0,16.0,42.0,24,True,2,,,,,
17,pocketpy,pocketpy/pocketpy,['written-in-cpp'],implemented-in-other-languages,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2026-07-01 03:44:19,2026-07-01 03:43:16,4240,24.0,212.0,17,239.0,10.0,255.0,2077,2026-03-18 07:11:24,2.1.8,6717.0,156.0,56.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,2.0,2.0,53.0,24,True,2,,,,,
18,pyccel,pyccel/pyccel,['written-in-python'],compilers,https://github.com/pyccel/pyccel,https://github.com/pyccel/pyccel,MIT,2017-08-16 07:59:14,2026-07-02 16:52:18,2026-07-02 16:52:17,3434,7.0,61.0,10,1425.0,171.0,947.0,397,2026-03-20 16:32:00,2.2.3,,5862.0,59.0,Python extension language using accelerators.,36.0,36.0,53.0,24,True,2,pyccel,https://pypi.org/project/pyccel,5862.0,True,
19,skulpt,skulpt/skulpt,['written-in-javascript'],implemented-in-other-languages,https://github.com/skulpt/skulpt,https://github.com/skulpt/skulpt,,2012-05-31 20:13:13,2026-03-12 02:22:25,2026-03-12 02:22:25,5675,,851.0,99,851.0,240.0,507.0,3395,2021-02-28 13:19:08,1.3.0,,,3.0,Skulpt is a Javascript implementation of the Python programming language.,253.0,253.0,117.0,22,False,2,,,,,
20,starlark-rust,facebook/starlark-rust,['written-in-rust'],implemented-in-other-languages,https://github.com/facebook/starlark-rust,https://github.com/facebook/starlark-rust,Apache-2.0,2020-12-07 16:47:27,2026-07-02 09:05:01,2026-07-02 09:03:09,5660,341.0,103.0,42,105.0,29.0,76.0,991,2026-06-01 13:16:22,0.14.0,,,12.0,A Rust implementation of the Starlark language.,,,130.0,22,True,2,,,,True,
21,voc,beeware/voc,['written-in-python'],compilers,https://github.com/beeware/voc,https://github.com/beeware/voc,BSD-3-Clause,2015-08-16 02:36:42,2020-05-31 04:31:29,2020-05-31 04:30:57,3093,,506.0,7,794.0,88.0,108.0,861,2017-04-22 23:17:09,3.6-b4,1883.0,280.0,8.0,A transpiler that converts Python code into Java bytecode.,184.0,184.0,209.0,22,False,2,voc,https://pypi.org/project/voc,265.0,True,
22,cinder,facebookincubator/cinder,['written-in-c'],cpython-forks,https://github.com/facebookincubator/cinder,https://github.com/facebookincubator/cinder,,2021-03-16 21:50:16,2026-07-01 21:57:26,2026-07-01 21:54:17,127726,53.0,136.0,54,94.0,31.0,51.0,3788,,,,,,"This is Metas fork of the CPython runtime. The name cinder here is historical, see..",2.0,2.0,3312.0,21,False,1,,,,,
23,pypy,pypy/pypy,['written-in-python'],implemented-in-other-languages,https://github.com/pypy/pypy,https://github.com/pypy/pypy,,2023-12-29 10:03:49,2026-07-01 20:31:28,2026-07-01 17:26:12,71266,186.0,119.0,19,266.0,722.0,4507.0,1757,,,,,,PyPy is a very fast and compliant implementation of the Python language.,,,398.0,21,False,3,,,,,-1.0
24,pyjion,tonybaloney/Pyjion,['written-in-cpp'],cpython-forks,https://github.com/tonybaloney/Pyjion,https://github.com/tonybaloney/Pyjion,MIT,2016-05-19 01:56:39,2024-12-25 02:51:16,2024-12-25 02:51:16,2800,,61.0,22,275.0,70.0,170.0,1421,2022-11-14 00:45:10,2.0.0,624.0,9.0,35.0,Pyjion - A JIT for Python based upon CoreCLR.,16.0,16.0,34.0,21,False,1,,,,,
25,py2many,py2many/py2many,['written-in-python'],compilers,https://github.com/py2many/py2many,https://github.com/py2many/py2many,MIT,2021-01-24 03:19:12,2026-06-30 01:26:27,2026-06-30 01:26:19,1317,125.0,84.0,13,515.0,115.0,186.0,1284,2025-01-01 22:47:34,0.6,,,4.0,Transpiler of Python to many other languages.,36.0,36.0,20.0,21,True,2,,,,True,
26,erg,erg-lang/erg,['written-in-rust'],implemented-in-other-languages,https://github.com/erg-lang/erg,https://github.com/erg-lang/erg,Apache-2.0,2022-08-10 13:59:09,2025-12-04 02:20:50,2025-12-04 02:19:25,4270,,61.0,15,294.0,67.0,171.0,2861,2025-08-12 18:32:11,0.6.53,13458.0,286.0,87.0,A statically typed language compatible with Python.,1.0,1.0,25.0,20,True,3,,,,,
27,pyston,pyston/pyston,['written-in-c'],cpython-forks,https://github.com/pyston/pyston,https://github.com/pyston/pyston,,2021-03-01 22:38:24,2024-08-12 16:30:59,2024-08-12 16:30:56,107480,,96.0,35,217.0,37.0,59.0,2498,2022-09-26 19:13:22,pyston_2.3.5,37505.0,604.0,7.0,(No longer maintained) A faster and highly-compatible implementation of the Python programming language.,,,1039.0,20,False,3,,,,,
