,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads
0,nogil,colesbury/nogil,['written-in-c'],cpython-forks,https://github.com/colesbury/nogil,https://github.com/colesbury/nogil,2021-10-06 18:41:08,2025-05-20 19:07:32,2025-05-20 19:07:31,109272.0,102.0,1.0,6.0,31.0,94.0,2910.0,2023-04-02 02:12:01,3.9.10-nogil-2023-04-01,675.0,12.0,3.0,Multithreaded Python without the GIL.,1397.0,18,False,1.0,15.0,,,,,
1,stackless,stackless-dev/stackless,['written-in-c'],supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030.0,64.0,2.0,40.0,12.0,256.0,1052.0,,,,,,The Stackless Python programming language.,1002.0,15,False,1.0,13.0,,,,,
2,taichi,taichi-dev/taichi,['written-in-cpp'],subsets,,{},,,,,,,,,,,,,,211788.0,,,250.0,12,False,1.0,,taichi,1265.0,1265.0,https://pypi.org/project/taichi,211788.0
3,cython,cython/cython,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,600.0,10,False,1.0,,,217562.0,217562.0,,
4,numba,numba/numba,['written-in-python'],subsets,,{},,,,,,,,,,,,,,,,,450.0,10,False,2.0,,,178078.0,178078.0,,
5,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,311.0,8,False,1.0,,,7067.0,7067.0,,
6,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,212.0,8,False,1.0,,,4034.0,4034.0,,
7,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,531.0,7,False,1.0,,,896.0,896.0,,
8,hy,hylang/hy,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,185.0,6,False,2.0,,,823.0,823.0,,
9,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,,{},,,,,,,,,,,,,,,,,1355.0,6,False,2.0,,,81.0,81.0,,
10,pythran,serge-sans-paille/pythran,['written-in-cpp'],subsets,,{},,,,,,,,,,,,,,,,,78.0,6,False,2.0,,,3711.0,3711.0,,
11,pyccel,pyccel/pyccel,['written-in-python'],compilers,,{},,,,,,,,,,,,,,5571.0,,,53.0,6,False,2.0,,pyccel,37.0,37.0,https://pypi.org/project/pyccel,5571.0
12,skulpt,skulpt/skulpt,['written-in-javascript'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,117.0,5,False,2.0,,,255.0,255.0,,
